authors,author_sort,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,rating,#pages,pubdate,series,series_index,size,title,title_sort,#words,#liked,#liseuse,#lu,uuid,publisher,tags
"Adele Faber & Elaine Mazlish","Faber, Adele & Mazlish, Elaine","The #1 New York Times best-selling guide to reducing hostility and generating goodwill between siblings. Already best-selling authors with How to Talk So Kids Will Listen & Listen So Kids Will Talk, Adele Faber and Elaine Mazlish turned their minds to the battle of the siblings. Parents themselves, they were determined to figure out how to help their children get along. The result was Siblings Without Rivalry. This wise, groundbreaking book gives parents the practical tools they need to cope with conflict, encourage cooperation, reduce competition, and make it possible for children to experience the joys of their special relationship. With humor and understanding—much gained from raising their own children—Faber and Mazlish explain how and when to intervene in fights, provide suggestions on how to help children channel their hostility into creative outlets, and demonstrate how to treat children unequally and still be fair. Updated to incorporate fresh thoughts after years of conducting workshops for parents and professionals, this edition also includes a new afterword.
","D:\9. NAS drive\Medias\ebook calibre v2\Adele Faber\Siblings Without Rivalry_ How to Hel (1)\cover.jpg","2024-02-12T20:26:53+02:00","epub","9780393063387","1","google:rnhsD64KvmwC,isbn:9780393063387","eng","ebook calibre v2","","241","2012-03-27T10:00:18+02:00","","1.0","6200534","Siblings Without Rivalry: How to Help Your Children Live Together So You Can Live Too","Siblings Without Rivalry: How to Help Your Children Live Together So You Can Live Too","44426","","True","","36ce5d6c-a31e-4269-aac9-8ee36cd52781","W. W. Norton","Family & Relationships, parenting, General, Siblings"
"Adrian Tchaikovsky","Tchaikovsky, Adrian","La Terre est au plus mal... Ses derniers habitants n’ont plus qu’un seul espoir : coloniser le 'Monde de Kern', une planète lointaine, spécialement terraformée pour l’espèce humaine. Mais sur ce 'monde vert' paradisiaque, tout ne s’est pas déroulé comme les scientifiques s’y attendaient. Une autre espèce que celle qui était prévue, aidée par un nanovirus, s’est parfaitement adaptée à ce nouvel environnement et elle n’a pas du tout l’intention de laisser sa place. Le choc de deux civilisations aussi différentes que possible semble inévitable. Qui seront donc les héritiers de l’ancienne Terre? Qui sortira vainqueur du piège tendu par la toile du temps? Premier roman de l’auteur paru en France, Dans la toile du temps s’inscrit dans la lignée du cycle de L’Élévation de David Brin. Il nous fait découvrir l’évolution d’une civilisation radicalement autre et sa confrontation inévitable avec l'espèce humaine. Le roman a reçu le prix Arthur C. Clarke en 2016.
","D:\9. NAS drive\Medias\ebook calibre v2\Adrian Tchaikovsky\Dans la toile du temps (2)\cover.jpg","2024-02-12T20:27:05+02:00","epub","9782207138601","2","google:cPBUDwAAQBAJ,isbn:9782207138601","fra","ebook calibre v2","","848","2018-04-12T09:18:15+02:00","","1.0","1744994","Dans la toile du temps","Dans la toile du temps","157890","","True","","c1c1004b-85fb-49f7-90dc-9ba433196720","Editions Denoël","Fiction, Science Fiction, General"
"Agatha Christie","Agatha Christie","Pour celebrer son 90e anniversaire, le Masque met a l'honneur des figures mythiques du roman policier a travers leurs plus grands classiques.
Format cartonne avec jaquette amovible. Dix personnes qui ont toutes quelque chose a cacher et a craindre sont conviees par un hote mysterieux a passer un sejour sur une ile. Coupes du monde dans une belle demeure isolee, chacun d'entre eux va etre hante par les fantomes du passe. Petit a petit et un par un, ils vont partager leurs plus sombres secrets et, l'un apres l'autre, mourir dans d'etranges circonstances... Incontestablement le plus celebre et le plus lu des romans d'Agatha Christie.
Traduit de l'anglais par Louis Postif (edition 1940)
","D:\9. NAS drive\Medias\ebook calibre v2\Agatha Christie\Dix petits negres (3)\cover.jpg","2024-02-12T20:27:14+02:00","epub","9782702448489","3","isbn:9782702448489,google:cyXMAQAACAAJ","fra","ebook calibre v2","5","283","2017-02-15T10:20:23+02:00","","1.0","250976","Dix petits nègres","Dix petits nègres","55781","","True","","27512504-f5de-472f-8c69-b62021f989b4","Éd. du Masque","Policier, General, Thrillers, Fiction"
"Agatha Christie","Agatha Christie","C’est par le plus grand des hasards qu’Hercule Poirot se trouve à bord de l’Orient-Express, ce train de luxe qui traverse l’Europe. Alors qu’il est bloqué par la neige au cœur de la Yougoslavie, on découvre, dans l’une des voitures, le corps d’un Américain sauvagement assassiné à coups de couteau. Le meurtrier se cache forcément parmi les voyageurs... Mais qui de la princesse russe, de l’Américaine fantasque, de ce couple de Hongrois distingués, de ce colonel de retour des Indes ou même du propre secrétaire de la victime a bien pu commettre pareil crime ? L’enquête commence, elle sera l’une des plus difficiles et des plus délicates pour notre célèbre détective belge.
Traduit de l’anglais par Jean-Marc Mendel
","D:\9. NAS drive\Medias\ebook calibre v2\Agatha Christie\Le crime de l'Orient-Express (Nouvel (4)\cover.jpg","2024-02-12T20:27:20+02:00","epub","9782702437100","4","mobi-asin:064b97ad-599d-4f7d-b30d-71256b634d2e,google:DmemAL44SRUC,isbn:9782702437100","fra","ebook calibre v2","","280","2013-01-28T10:19:29+02:00","l'Orient","1.0","280968","Le crime de l'Orient-Express (Nouvelle traduction révisée)","crime de l'Orient-Express (Nouvelle traduction révisée), Le","52792","True","True","True","8c60964c-d094-42de-a02e-099c1046f9f9","Le Masque","Policier, Thrillers, Crime, Fiction, General"
"Alfred Bester","Bester, Alfred","Dans une société où les cadres de la police sont télépathes, où aucun meurtre n'a été commis depuis plus de soixante-dix ans, Ben Reich décide d'assassiner son principal concurrent. Une entreprise difficile, sans doute téméraire, car si sa culpabilité est prouvée il sera condamné à la démolition. (L'Homme démoli.) Parce qu'il se trouvait en danger de mort aux abords de la ceinture d'astéroïdes et qu'il n'a pas été secouru par vaisseau Vorga-T : 1339, Gully Foyle va découvrir le véritable sens du mot vengeance. (Terminus les étoiles.).","D:\9. NAS drive\Medias\ebook calibre v2\Alfred Bester\Terminus les etoiles (6)\cover.jpg","2024-02-12T20:29:37+02:00","epub","9782070445028","6","google:VHSetwAACAAJ,isbn:9782070445028","fra","ebook calibre v2","","384","2011-02-15T10:13:46+02:00","","1.0","799840","Terminus les étoiles","Terminus les étoiles","73079","","True","","27baaf5b-6254-44cf-a52f-b007f09421b6","Gallimard","Fiction, SCIENCE-FICTION, General, Science Fiction"
"Alfred Elton van Vogt","Vogt, Alfred Elton van","« Au-delà du système solaire, le ""Fureteur"" se livre depuis des années à une mission d'exploration interplanétaire. Il transporte dans ses flancs plusieurs équipes de savants et, pami eux, des psychologues chargés de comprendre la nature des civilisations extraterrestres et d'établir un contact s'ils le jugent possible. Soudain, au cœur d'un désert d'étoiles, l'astronef rencontre Ixtl. La créature flotte depuis des milliers d'années dans une nuit sans limites, cherchant obstinément la source d'énergie qui lui rendra ses terribles pouvoirs. Pour son malheur, le ""Fureteur"" a attisé sa convoitise... »
","D:\9. NAS drive\Medias\ebook calibre v2\Alfred Elton van Vogt\Faune de l'espace (7)\cover.jpg","2024-02-12T20:29:41+02:00","epub","9782290036778","7","amazon:2290036773,google:TuN0twAACAAJ,isbn:9782290036778","fra","ebook calibre v2","5","402","2011-01-02T02:00:00+02:00","","1.0","358024","Faune de l'espace","Faune de l'espace","76262","True","True","True","fb892157-2491-42a0-b848-7dd71926f23f","J'ai lu","SF"
"Isaac Asimov","Isaac Asimov","Neuf nouvelles traitant soit de thèmes classiques de la science-fiction comme la mémoire totale, la faculté de voler, les débuts du voyage spatial, soit de thèmes plus personnels comme le départ de la navette emportant les derniers êtres humains loin de la Terre, le choc des cultures entre différents mondes. Entre ces nouvelles sont intercalés des textes très courts à caractère humoristique.
","D:\9. NAS drive\Medias\ebook calibre v2\Isaac Asimov\Au prix du papyrus (8)\cover.jpg","2024-02-12T20:29:46+02:00","","9782070305452","8","google:F2dgAAAACAAJ,isbn:9782070305452","fra","ebook calibre v2","","","2004-02-15T09:50:50+02:00","","1.0","314169","Au prix du papyrus","Au prix du papyrus","","","True","","583ab705-fd40-4061-a2f2-56fd5beca183","Gallimard","Fiction, General, SF, Science Fiction"
"Isaac Asimov","Isaac Asimov",""" J'ai un démon avec moi, monsieur Asimov. Un petit démon, certes, mais avec un coeur gros comme ça. "" 
Curieuse entrée en matière. Curieux personnage que ce George, rencontré par l'écrivain lors d'une convention de science-fiction et qui, très vite, se révèle maître dans l'art de se faire inviter à dîner. Mais qui paiera Asimov au centuple en lui racontant l'ahurissante histoire de sa vie. 
George a un problème : il aime rendre service - et un atout : Azazel, un petit diable rouge de deux centimètres de haut, extraterrestre d'origine, et que George peut faire apparaître à volonté. 
Azazel a des pouvoirs très étendus et il suffit que George explique le cas pour que le minuscule personnage intervienne dans le sens désiré. Le problème, c'est qu'Azazel ne sait que ce qu'on lui dit et George ne s'explique pas toujours clairement. A eux deux, ils provoquent des catastrophes.
  

<http://www.amazon.fr/Azazel-Isaac-Asimov/dp/2266055208>  

","D:\9. NAS drive\Medias\ebook calibre v2\Isaac Asimov\Azazel Ndeg 1 (9)\cover.jpg","2024-02-12T20:29:50+02:00","","9782266055208","9","isbn:9782266055208,google:puawPQAACAAJ","fra","ebook calibre v2","","","1993-02-15T09:50:16+02:00","Azazel","1.0","329204","Azazel N° 1","Azazel N° 1","","","True","","0be23319-0b25-4223-a453-7d4c9770625c","Presses de la Cité","Fantastique"
"Isaac Asimov","Isaac Asimov","Une mission spatiale sur Callisto dont personne n'est revenu et d'autres récits datant du début de la carrière de l'auteur.
","D:\9. NAS drive\Medias\ebook calibre v2\Isaac Asimov\Dangereuse Callisto (10)\cover.jpg","2024-02-12T20:29:52+02:00","","9782070309023","10","isbn:9782070309023,google:xbypGAAACAAJ","fra","ebook calibre v2","","","2005-02-15T09:49:36+02:00","","1.0","347962","Dangereuse Callisto","Dangereuse Callisto","","","True","","bf8d9961-6d93-4cb3-bc78-61d3eb5be501","Gallimard","Fiction, General, SF, Science Fiction"
"Isaac Asimov","Isaac Asimov","**DAVID STARR**
Justicier de l'espace
Les poisons de Mars
Les pirates des astéroïdes
Les océans de Vénus
Les lunes de Jupiter
La fournaise de Mercure (inédit)
Les anneaux de Saturne (inédit)
Un cycle qui fleure bon la science-fiction des années cinquante. A l'époque, Asimov se détacha de la masse par ses qualités ordinaires de réalisme. Il ne fit pas de son héros David « Lucky » Starr un émule de James Bond ou de John Carter, comme l'enseigne Flandry de Poul Anderson, mais un esprit clair, mesuré, que son intelligence guide ; la clé de l'énigme se trouvant le plus souvent fort astucieusement dissimulée dans le texte.
Les six récits repris dans ce volume, soit l'intégrale des aventures de David Starr dont deux inédits, vous entraînent sur Mars, où des forces inconnues menacent de déstabiliser l'économie de la Terre ; dans les astéroïdes, où des pirates tentent de s'assurer la domination de l'univers ; au milieu des océans de Vénus, où une espèce étrange de grenouilles semble avoir asservi l'esprit des hommes ... mais encore sur Jupiter, sur Mercure, et au centre des anneaux de Saturne.
Six space opéra qui démontrent qu'Isaac Asimov a bien assimilé les deux lois de Campbell : 1 Aimez votre sujet ; 2 Aimez votre lecteur.
  

<http://www.amazon.fr/David-starr-justicier-lespace-Asimov-I/dp/2871531498>
","D:\9. NAS drive\Medias\ebook calibre v2\Isaac Asimov\David Starr_ Justicier de l'espace (11)\cover.jpg","2024-02-12T20:29:54+02:00","","9782871531494","11","isbn:9782871531494,google:O5aEBAAACAAJ","fra","ebook calibre v2","","","1993-02-15T09:49:25+02:00","","1.0","904758","David Starr: Justicier de l'espace","David Starr: Justicier de l'espace","","","True","","261e33cd-a6f9-4d69-98f2-0b340e0e2ae7","Claude Lefrancq","SF"
